Start time: 1376316817.34, Players: 1
End time: 1376316912.28, Score: 1300
Player,Time,HR
Black,2013-08-12 10:13:37.299380,101.594917297
Black,2013-08-12 10:13:37.373621,101.169830322
Black,2013-08-12 10:13:37.442366,100.779136658
Black,2013-08-12 10:13:37.522151,100.39478302
Black,2013-08-12 10:13:37.590861,99.9590759277
Black,2013-08-12 10:13:37.669460,99.5452804565
Black,2013-08-12 10:13:37.757364,99.0679168701
Black,2013-08-12 10:13:37.843693,98.5950469971
Black,2013-08-12 10:13:37.926287,98.1382598877
Black,2013-08-12 10:13:38.006217,100.957672119
Black,2013-08-12 10:13:38.085661,100.539337158
Black,2013-08-12 10:13:38.160742,100.133270264
Black,2013-08-12 10:13:38.239131,99.7052536011
Black,2013-08-12 10:13:38.319523,99.2905502319
Black,2013-08-12 10:13:38.407126,98.8498764038
Black,2013-08-12 10:13:38.471232,98.4807891846
Black,2013-08-12 10:13:38.545399,98.0891647339
Black,2013-08-12 10:13:38.626298,97.6879959106
Black,2013-08-12 10:13:38.717159,97.2430725098
Black,2013-08-12 10:13:38.792371,99.9556427002
Black,2013-08-12 10:13:38.879890,99.536026001
Black,2013-08-12 10:13:38.968002,99.0864639282
Black,2013-08-12 10:13:39.057224,98.6182174683
Black,2013-08-12 10:13:39.136479,98.2102890015
Black,2013-08-12 10:13:39.219921,97.7981872559
Black,2013-08-12 10:13:39.299748,97.3975067139
Black,2013-08-12 10:13:39.382156,96.9779663086
Black,2013-08-12 10:13:39.470845,96.5778121948
Black,2013-08-12 10:13:39.553124,96.1616516113
Black,2013-08-12 10:13:39.640464,95.7445220947
Black,2013-08-12 10:13:39.728261,95.3291778564
Black,2013-08-12 10:13:39.815689,97.8755264282
Black,2013-08-12 10:13:39.901775,97.4748916626
Black,2013-08-12 10:13:39.981172,97.082862854
Black,2013-08-12 10:13:40.059434,96.7092666626
Black,2013-08-12 10:13:40.147293,96.3043136597
Black,2013-08-12 10:13:40.226794,95.9217529297
Black,2013-08-12 10:13:40.310018,95.5434341431
Black,2013-08-12 10:13:40.391752,95.1634521484
Black,2013-08-12 10:13:40.473946,94.7813644409
Black,2013-08-12 10:13:40.556839,94.4162368774
Black,2013-08-12 10:13:40.638392,94.0528259277
Black,2013-08-12 10:13:40.719811,96.5445632935
Black,2013-08-12 10:13:40.800612,96.1578598022
Black,2013-08-12 10:13:40.896739,95.7188720703
Black,2013-08-12 10:13:40.982148,95.3462371826
Black,2013-08-12 10:13:41.067712,94.9615936279
Black,2013-08-12 10:13:41.153938,94.597328186
Black,2013-08-12 10:13:41.236240,94.2108688354
Black,2013-08-12 10:13:41.323431,93.8572158813
Black,2013-08-12 10:13:41.404272,93.5005493164
Black,2013-08-12 10:13:41.487024,93.1506881714
Black,2013-08-12 10:13:41.572285,92.7933197021
Black,2013-08-12 10:13:41.656437,92.4245452881
Black,2013-08-12 10:13:41.735635,94.8086471558
Black,2013-08-12 10:13:41.813536,94.47706604
Black,2013-08-12 10:13:41.893912,94.1273574829
Black,2013-08-12 10:13:41.978339,93.7921676636
Black,2013-08-12 10:13:42.063369,93.4235534668
Black,2013-08-12 10:13:42.145164,93.0925750732
Black,2013-08-12 10:13:42.231353,92.7397079468
Black,2013-08-12 10:13:42.317154,92.385345459
Black,2013-08-12 10:13:42.392848,92.0704956055
Black,2013-08-12 10:13:42.475412,91.7470169067
Black,2013-08-12 10:13:42.555166,91.4184799194
Black,2013-08-12 10:13:42.639450,91.1025161743
Black,2013-08-12 10:13:42.728760,93.3755645752
Black,2013-08-12 10:13:42.811145,93.0048599243
Black,2013-08-12 10:13:42.897148,92.6726074219
Black,2013-08-12 10:13:42.976493,92.3451385498
Black,2013-08-12 10:13:43.057105,92.0349121094
Black,2013-08-12 10:13:43.133807,91.721496582
Black,2013-08-12 10:13:43.216223,91.3948440552
Black,2013-08-12 10:13:43.300875,91.0836639404
Black,2013-08-12 10:13:43.378607,90.7843704224
Black,2013-08-12 10:13:43.460242,90.4761962891
Black,2013-08-12 10:13:43.545376,90.1607894897
Black,2013-08-12 10:13:43.631627,89.8367996216
Black,2013-08-12 10:13:43.718598,89.5138931274
Black,2013-08-12 10:13:43.803159,91.6687927246
Black,2013-08-12 10:13:43.893055,91.3420410156
Black,2013-08-12 10:13:43.972585,91.0291061401
Black,2013-08-12 10:13:44.056654,90.7176818848
Black,2013-08-12 10:13:44.143190,90.4245071411
Black,2013-08-12 10:13:44.218346,90.1216049194
Black,2013-08-12 10:13:44.300301,89.8269577026
Black,2013-08-12 10:13:44.382001,89.5292053223
Black,2013-08-12 10:13:44.460779,89.2404632568
Black,2013-08-12 10:13:44.544234,88.9566116333
Black,2013-08-12 10:13:44.623472,88.6687850952
Black,2013-08-12 10:13:44.713981,88.3526992798
Black,2013-08-12 10:13:44.794460,88.0568847656
Black,2013-08-12 10:13:44.870962,90.1706619263
Black,2013-08-12 10:13:44.951667,89.8885269165
Black,2013-08-12 10:13:45.033015,89.6032943726
Black,2013-08-12 10:13:45.114852,89.3108901978
Black,2013-08-12 10:13:45.195799,89.0248413086
Black,2013-08-12 10:13:45.279417,88.7509536743
Black,2013-08-12 10:13:45.358190,88.4770126343
Black,2013-08-12 10:13:45.438880,88.1901931763
Black,2013-08-12 10:13:45.521606,87.9110794067
Black,2013-08-12 10:13:45.604347,87.6282730103
Black,2013-08-12 10:13:45.688567,87.3500366211
Black,2013-08-12 10:13:45.775817,87.0694503784
Black,2013-08-12 10:13:45.848337,86.8076934814
Black,2013-08-12 10:13:45.931877,88.8143920898
Black,2013-08-12 10:13:46.011060,88.543800354
Black,2013-08-12 10:13:46.092415,88.2909545898
Black,2013-08-12 10:13:46.179488,87.9936828613
Black,2013-08-12 10:13:46.261368,87.7197875977
Black,2013-08-12 10:13:46.343547,87.4587249756
Black,2013-08-12 10:13:46.424451,87.1932067871
Black,2013-08-12 10:13:46.515525,86.9096984863
Black,2013-08-12 10:13:46.596679,86.637878418
Black,2013-08-12 10:13:46.690963,86.3248596191
Black,2013-08-12 10:13:46.771690,86.0750656128
Black,2013-08-12 10:13:46.858735,85.8106384277
Black,2013-08-12 10:13:46.949559,85.5177078247
Black,2013-08-12 10:13:47.032195,85.2537841797
Black,2013-08-12 10:13:47.117048,87.1826019287
Black,2013-08-12 10:13:47.197761,86.9182434082
Black,2013-08-12 10:13:47.280820,86.6601638794
Black,2013-08-12 10:13:47.365903,86.3940734863
Black,2013-08-12 10:13:47.452637,86.1280975342
Black,2013-08-12 10:13:47.534453,85.8685913086
Black,2013-08-12 10:13:47.624075,85.6126708984
Black,2013-08-12 10:13:47.712258,85.3356246948
Black,2013-08-12 10:13:47.797900,85.0717163086
Black,2013-08-12 10:13:47.882578,84.8200073242
Black,2013-08-12 10:13:47.967348,84.5717544556
Black,2013-08-12 10:13:48.051499,84.3224182129
Black,2013-08-12 10:13:48.131684,84.0782089233
Black,2013-08-12 10:13:48.212745,83.8401031494
Black,2013-08-12 10:13:48.296361,85.6885910034
Black,2013-08-12 10:13:48.375508,85.4440307617
Black,2013-08-12 10:13:48.457047,85.2021636963
Black,2013-08-12 10:13:48.542341,84.9577713013
Black,2013-08-12 10:13:48.622077,84.7155227661
Black,2013-08-12 10:13:48.703611,84.4837493896
Black,2013-08-12 10:13:48.800392,84.2201080322
Black,2013-08-12 10:13:48.898154,83.9335327148
Black,2013-08-12 10:13:49.006387,83.6322784424
Black,2013-08-12 10:13:49.105755,83.3458862305
Black,2013-08-12 10:13:49.208207,83.0754852295
Black,2013-08-12 10:13:49.302941,82.7981719971
Black,2013-08-12 10:13:49.392170,82.5420227051
Black,2013-08-12 10:13:49.479323,82.2970199585
Black,2013-08-12 10:13:49.570933,82.047958374
Black,2013-08-12 10:13:49.656462,81.8119812012
Black,2013-08-12 10:13:49.740159,81.5828933716
Black,2013-08-12 10:13:49.824703,83.3351974487
Black,2013-08-12 10:13:49.909609,83.1063995361
Black,2013-08-12 10:13:49.990790,82.8763198853
Black,2013-08-12 10:13:50.072784,82.6543731689
Black,2013-08-12 10:13:50.157277,82.4306259155
Black,2013-08-12 10:13:50.241178,82.2012329102
Black,2013-08-12 10:13:50.322654,81.9830627441
Black,2013-08-12 10:13:50.405945,81.7641296387
Black,2013-08-12 10:13:50.492632,81.5445632935
Black,2013-08-12 10:13:50.574002,81.3175964355
Black,2013-08-12 10:13:50.664306,81.0849304199
Black,2013-08-12 10:13:50.747201,80.8697738647
Black,2013-08-12 10:13:50.828979,80.6555709839
Black,2013-08-12 10:13:50.915615,80.4399490356
Black,2013-08-12 10:13:51.005820,80.200553894
Black,2013-08-12 10:13:51.092280,79.9848480225
Black,2013-08-12 10:13:51.182055,81.6585006714
Black,2013-08-12 10:13:51.262722,81.4447250366
Black,2013-08-12 10:13:51.344847,81.2329788208
Black,2013-08-12 10:13:51.429557,81.0198287964
Black,2013-08-12 10:13:51.514946,80.8082504272
Black,2013-08-12 10:13:51.595579,80.6007995605
Black,2013-08-12 10:13:51.676590,80.3916625977
Black,2013-08-12 10:13:51.764348,80.1876525879
Black,2013-08-12 10:13:51.852792,79.9693450928
Black,2013-08-12 10:13:51.942664,79.7436904907
Black,2013-08-12 10:13:52.031941,79.5267181396
Black,2013-08-12 10:13:52.117867,79.3132553101
Black,2013-08-12 10:13:52.207636,79.098449707
Black,2013-08-12 10:13:52.298293,78.8765106201
Black,2013-08-12 10:13:52.386710,78.6732254028
Black,2013-08-12 10:13:52.472433,78.4532623291
Black,2013-08-12 10:13:52.557651,80.0823059082
Black,2013-08-12 10:13:52.640331,79.872177124
Black,2013-08-12 10:13:52.721883,79.6733932495
Black,2013-08-12 10:13:52.803312,79.4727935791
Black,2013-08-12 10:13:52.890470,79.2765274048
Black,2013-08-12 10:13:52.970683,79.0785064697
Black,2013-08-12 10:13:53.052908,78.8800125122
Black,2013-08-12 10:13:53.136794,78.6853103638
Black,2013-08-12 10:13:53.224347,78.4846572876
Black,2013-08-12 10:13:53.310112,78.2845001221
Black,2013-08-12 10:13:53.392801,78.0918960571
Black,2013-08-12 10:13:53.481505,77.8963699341
Black,2013-08-12 10:13:53.566686,77.6942596436
Black,2013-08-12 10:13:53.655272,77.4972076416
Black,2013-08-12 10:13:53.739747,77.2982940674
Black,2013-08-12 10:13:53.821023,77.1103286743
Black,2013-08-12 10:13:53.910966,159.410873413
Black,2013-08-12 10:13:53.990674,159.314834595
Black,2013-08-12 10:13:54.077527,50.7558670044
Black,2013-08-12 10:13:54.162391,50.7635955811
Black,2013-08-12 10:13:54.243420,50.7537193298
Black,2013-08-12 10:13:54.323354,50.7406425476
Black,2013-08-12 10:13:54.426023,50.7120819092
Black,2013-08-12 10:13:54.508687,50.7009048462
Black,2013-08-12 10:13:54.590211,50.6814727783
Black,2013-08-12 10:13:54.677745,50.6577148438
Black,2013-08-12 10:13:54.757192,50.6559066772
Black,2013-08-12 10:13:54.839924,50.6629066467
Black,2013-08-12 10:13:54.923236,50.6453590393
Black,2013-08-12 10:13:55.010748,50.610824585
Black,2013-08-12 10:13:55.102728,50.6004981995
Black,2013-08-12 10:13:55.190838,50.5850372314
Black,2013-08-12 10:13:55.284109,50.5664367676
Black,2013-08-12 10:13:55.365487,50.5378456116
Black,2013-08-12 10:13:55.446667,50.5209922791
Black,2013-08-12 10:13:55.534063,50.5230293274
Black,2013-08-12 10:13:55.627398,50.5137062073
Black,2013-08-12 10:13:55.713731,50.4816589355
Black,2013-08-12 10:13:55.799480,50.4818115234
Black,2013-08-12 10:13:55.884065,50.4719810486
Black,2013-08-12 10:13:55.965061,50.4521942139
Black,2013-08-12 10:13:56.054373,50.4394111633
Black,2013-08-12 10:13:56.132859,50.4361534119
Black,2013-08-12 10:13:56.222554,50.415019989
Black,2013-08-12 10:13:56.315828,50.3897895813
Black,2013-08-12 10:13:56.403240,50.3818016052
Black,2013-08-12 10:13:56.491215,50.3598899841
Black,2013-08-12 10:13:56.578531,50.3391838074
Black,2013-08-12 10:13:56.665729,50.3382797241
Black,2013-08-12 10:13:56.747789,50.3385620117
Black,2013-08-12 10:13:56.835485,50.3194313049
Black,2013-08-12 10:13:56.921908,50.3094558716
Black,2013-08-12 10:13:57.004972,50.3111495972
Black,2013-08-12 10:13:57.089312,50.2857475281
Black,2013-08-12 10:13:57.171060,50.2856903076
Black,2013-08-12 10:13:57.265632,50.276889801
Black,2013-08-12 10:13:57.390299,50.194026947
Black,2013-08-12 10:13:57.481702,50.1777153015
Black,2013-08-12 10:13:57.570265,50.1624603271
Black,2013-08-12 10:13:57.656360,50.1450119019
Black,2013-08-12 10:13:57.737239,50.1249160767
Black,2013-08-12 10:13:57.822698,50.1257095337
Black,2013-08-12 10:13:57.914492,50.1132469177
Black,2013-08-12 10:13:58.000639,50.0813751221
Black,2013-08-12 10:13:58.081107,50.0736083984
Black,2013-08-12 10:13:58.165709,50.0791473389
Black,2013-08-12 10:13:58.251335,50.0553474426
Black,2013-08-12 10:13:58.339127,50.02394104
Black,2013-08-12 10:13:58.424701,50.0159873962
Black,2013-08-12 10:13:58.510598,50.0018577576
Black,2013-08-12 10:13:58.599891,51.6977882385
Black,2013-08-12 10:13:58.683055,51.6700935364
Black,2013-08-12 10:13:58.762979,51.6473655701
Black,2013-08-12 10:13:58.848235,51.6253509521
Black,2013-08-12 10:13:58.937507,51.5945510864
Black,2013-08-12 10:13:59.022240,51.5688476562
Black,2013-08-12 10:13:59.106119,51.553276062
Black,2013-08-12 10:13:59.192343,51.5288581848
Black,2013-08-12 10:13:59.277472,51.5089073181
Black,2013-08-12 10:13:59.362392,51.4971733093
Black,2013-08-12 10:13:59.448764,51.4750595093
Black,2013-08-12 10:13:59.534530,51.4470291138
Black,2013-08-12 10:13:59.621474,51.4211425781
Black,2013-08-12 10:13:59.704245,51.4038543701
Black,2013-08-12 10:13:59.789477,51.3792381287
Black,2013-08-12 10:13:59.871320,51.3624687195
Black,2013-08-12 10:13:59.957692,51.3383979797
Black,2013-08-12 10:14:00.043723,51.3073387146
Black,2013-08-12 10:14:00.135265,51.2756767273
Black,2013-08-12 10:14:00.221564,51.2477340698
Black,2013-08-12 10:14:00.308830,51.2211418152
Black,2013-08-12 10:14:00.395348,51.1923217773
Black,2013-08-12 10:14:00.480021,51.1742095947
Black,2013-08-12 10:14:00.564478,51.1515388489
Black,2013-08-12 10:14:00.648224,51.1228294373
Black,2013-08-12 10:14:00.737843,51.098526001
Black,2013-08-12 10:14:00.819317,51.0869369507
Black,2013-08-12 10:14:00.904394,51.0648727417
Black,2013-08-12 10:14:00.989254,51.0461120605
Black,2013-08-12 10:14:01.079081,51.0241775513
Black,2013-08-12 10:14:01.168574,50.9931106567
Black,2013-08-12 10:14:01.259802,50.9647331238
Black,2013-08-12 10:14:01.341129,50.9395446777
Black,2013-08-12 10:14:01.429292,50.9483642578
Black,2013-08-12 10:14:01.511566,50.9294624329
Black,2013-08-12 10:14:01.597000,50.914188385
Black,2013-08-12 10:14:01.684945,50.8874435425
Black,2013-08-12 10:14:01.772160,50.8666992188
Black,2013-08-12 10:14:01.858084,50.8428688049
Black,2013-08-12 10:14:01.951040,50.8155136108
Black,2013-08-12 10:14:02.033093,50.7909049988
Black,2013-08-12 10:14:02.117379,50.7683563232
Black,2013-08-12 10:14:02.202315,50.7525253296
Black,2013-08-12 10:14:02.290446,50.7317276001
Black,2013-08-12 10:14:02.378445,50.7055892944
Black,2013-08-12 10:14:02.464826,50.6926498413
Black,2013-08-12 10:14:02.552723,50.6787261963
Black,2013-08-12 10:14:02.654394,50.6614570618
Black,2013-08-12 10:14:02.734727,50.6309700012
Black,2013-08-12 10:14:02.822311,50.6147880554
Black,2013-08-12 10:14:02.916740,50.5788841248
Black,2013-08-12 10:14:03.005756,50.5558433533
Black,2013-08-12 10:14:03.091871,50.5430870056
Black,2013-08-12 10:14:03.179371,50.5184059143
Black,2013-08-12 10:14:03.264657,50.5067253113
Black,2013-08-12 10:14:03.348018,50.4877166748
Black,2013-08-12 10:14:03.437289,50.8082008362
Black,2013-08-12 10:14:03.525534,50.7861061096
Black,2013-08-12 10:14:03.610110,50.7680969238
Black,2013-08-12 10:14:03.701992,50.8649978638
Black,2013-08-12 10:14:03.793203,50.9334068298
Black,2013-08-12 10:14:03.878230,50.9101371765
Black,2013-08-12 10:14:03.976610,50.8795509338
Black,2013-08-12 10:14:04.060873,50.8692092896
Black,2013-08-12 10:14:04.147952,50.9010162354
Black,2013-08-12 10:14:04.241431,50.8947257996
Black,2013-08-12 10:14:04.325986,50.8648300171
Black,2013-08-12 10:14:04.418170,50.8317832947
Black,2013-08-12 10:14:04.505680,50.7999954224
Black,2013-08-12 10:14:04.591370,50.7796134949
Black,2013-08-12 10:14:04.682257,50.7565574646
Black,2013-08-12 10:14:04.773953,50.7173156738
Black,2013-08-12 10:14:04.861472,50.7033805847
Black,2013-08-12 10:14:04.944782,50.6841430664
Black,2013-08-12 10:14:05.030358,50.6597976685
Black,2013-08-12 10:14:05.120204,50.6342849731
Black,2013-08-12 10:14:05.207807,50.6016197205
Black,2013-08-12 10:14:05.297760,50.7090835571
Black,2013-08-12 10:14:05.378410,50.693031311
Black,2013-08-12 10:14:05.459224,50.6741943359
Black,2013-08-12 10:14:05.540258,50.6568489075
Black,2013-08-12 10:14:05.623233,50.6434783936
Black,2013-08-12 10:14:05.707538,50.6189613342
Black,2013-08-12 10:14:05.788262,50.6021499634
Black,2013-08-12 10:14:05.873108,50.5816917419
Black,2013-08-12 10:14:05.953089,50.5594329834
Black,2013-08-12 10:14:06.044083,50.5845222473
Black,2013-08-12 10:14:06.126328,50.5629653931
Black,2013-08-12 10:14:06.211903,50.5468177795
Black,2013-08-12 10:14:06.296008,50.5228462219
Black,2013-08-12 10:14:06.389112,50.4951667786
Black,2013-08-12 10:14:06.466950,50.4868049622
Black,2013-08-12 10:14:06.549264,50.4990158081
Black,2013-08-12 10:14:06.636316,50.5084953308
Black,2013-08-12 10:14:06.718188,50.5578155518
Black,2013-08-12 10:14:06.801571,50.5421829224
Black,2013-08-12 10:14:06.884326,50.5236778259
Black,2013-08-12 10:14:06.967214,50.5161781311
Black,2013-08-12 10:14:07.071532,50.4859352112
Black,2013-08-12 10:14:07.151834,50.4493560791
Black,2013-08-12 10:14:07.252606,50.4483604431
Black,2013-08-12 10:14:07.340595,50.4989204407
Black,2013-08-12 10:14:07.426859,50.4930076599
Black,2013-08-12 10:14:07.504125,50.5112571716
Black,2013-08-12 10:14:07.586586,50.5246124268
Black,2013-08-12 10:14:07.667811,50.5096168518
Black,2013-08-12 10:14:07.748860,50.5013275146
Black,2013-08-12 10:14:07.827452,50.4928665161
Black,2013-08-12 10:14:07.910907,50.4843597412
Black,2013-08-12 10:14:07.996741,50.4617042542
Black,2013-08-12 10:14:08.076604,50.4720153809
Black,2013-08-12 10:14:08.161265,50.4888343811
Black,2013-08-12 10:14:08.241918,50.4698295593
Black,2013-08-12 10:14:08.326665,50.4723968506
Black,2013-08-12 10:14:08.408211,50.4509010315
Black,2013-08-12 10:14:08.490068,50.4356231689
Black,2013-08-12 10:14:08.571886,50.4167709351
Black,2013-08-12 10:14:08.657394,50.3961334229
Black,2013-08-12 10:14:08.736012,50.3834037781
Black,2013-08-12 10:14:08.820947,50.3621330261
